user_id,rank,item_id,score,seed_cnt,seed_code,Description,Chinese_Description,Product_Category,price
13085,1,85123A,1.1976,7,48138,WHITE HANGING HEART T-LIGHT HOLDER,白色悬挂心形茶烛台,家居装饰,2.95
13085,2,48194,1.1168,6,48138,DOORMAT HEARTS,爱心门垫,装饰品,7.49
13085,3,20685,1.1083,6,48138,DOORMAT RED RETROSPOT,红色波点门垫,生活用品,7.49
13085,4,21212,1.078,8,84992,PACK OF 72 RETROSPOT CAKE CASES,72个波点蛋糕纸杯套装,派对用品,0.55
13085,5,79323LP,1.0722,2,79323W,LIGHT PINK CHERRY LIGHTS,浅粉色樱桃串灯,家居装饰,6.75
13085,6,48187,1.0718,5,48138,DOORMAT NEW ENGLAND,新英格兰门垫,生活用品,7.49
13085,7,22196,1.0401,6,22195,SMALL HEART MEASURING SPOONS,小号心形量勺,厨房用品,0.85
13085,8,20914,1.0125,8,22328,SET/5 RED RETROSPOT LID GLASS BOWLS,5件套红色波点玻璃碗带盖,厨房用品,2.95
13085,9,48188,0.9822,6,48138,DOOR MAT WELCOME PUPPIES,欢迎地垫·小狗,生活用品,7.49
13085,10,22366,0.94,5,21955,DOORMAT AIRMAIL,航空邮件主题门垫,生活用品,7.49
13085,11,84050,0.8791,7,22195,PINK HEART SHAPE EGG FRYING PAN,粉色心形煎蛋锅,厨房用品,1.65
13085,12,79323GR,0.8729,2,79323P,GREEN CHERRY LIGHTS,绿色樱桃串灯,家居装饰,6.75
13085,13,48185,0.8629,4,21955,DOORMAT FAIRY CAKE,仙女蛋糕门垫,厨房用品,7.49
13085,14,21524,0.8599,4,48138,DOORMAT SPOTTY HOME SWEET HOME,圆点图案欢迎回家门垫,食品,7.49
13085,15,22131,0.8553,7,22195,FOOD CONTAINER SET 3 LOVE HEART,爱心食品容器套装3件,食品,1.95
13085,16,22199,0.8507,5,22200,FRYING PAN RED RETROSPOT,红色复古斑点煎锅,厨房用品,4.25
13085,17,48111,0.8446,5,48138,DOORMAT 3 SMILEY CATS,3只笑脸猫门垫,生活用品,7.49
13085,18,22203,0.8144,5,22202,MILK PAN RED RETROSPOT,红色复古圆点奶锅,厨房用品,3.75
